"","image","tot_root_length","width","depth","direction","n_primary","tot_prim_length","mean_prim_length","mean_prim_diameter","mean_lat_density","n_laterals","tot_lat_length","mean_lat_length","mean_lat_diameter","mean_lat_angle","tree_size","tree_magnitude","tree_altitude","tree_index","specie","group","id"
"1","dicot-sim-1-1-20.rsml",51.927048,2.1759334,12.496799,2.2209597,1,12,12.999994,0.09005735,3.0185144,27,24,1.4417427,0.025214517,32.936813,55,28,28,1,"dicot","1","1"
"2","dicot-sim-1-10-20.rsml",43.12616,2.159,12.496799,2.4732127,1,12,12.999526,0.08689725,2.2360134,20,20,1.5063316,0.024675509,36.012897,41,21,21,1,"dicot","1","10"
"3","dicot-sim-1-2-20.rsml",50.534565,2.2521334,12.496799,2.308536,1,12,12.999537,0.08964329,2.468553,23,24,1.6319573,0.025551258,34.63497,47,24,24,1,"dicot","1","2"
"4","dicot-sim-1-3-20.rsml",43.342926,2.4384,12.496799,2.3381503,1,12,12.999834,0.08246763,2.4148457,18,18,1.6857265,0.025262944,32.976112,37,19,19,1,"dicot","1","3"
"5","dicot-sim-1-4-20.rsml",46.67916,2.5484667,12.496799,2.261515,1,12,12.999963,0.08704382,3.0855937,23,21,1.4643131,0.025234997,30.96352,47,24,24,1,"dicot","1","4"
"6","dicot-sim-1-5-20.rsml",43.558487,2.3791332,12.496799,2.3010962,1,12,12.999994,0.08685177,2.4595306,22,16,1.3890225,0.025459869,39.345306,45,23,23,1,"dicot","1","5"
"7","dicot-sim-1-6-20.rsml",50.220287,2.3452666,12.496799,2.239412,1,12,12.999987,0.08659631,2.7997832,24,23,1.550846,0.024802541,37.197536,49,25,25,1,"dicot","1","6"
"8","dicot-sim-1-7-20.rsml",44.124157,2.3367999,12.496799,2.3247375,1,12,12.999999,0.088942185,2.5611627,21,19,1.4821025,0.02448227,35.96036,43,22,22,1,"dicot","1","7"
"9","dicot-sim-1-8-20.rsml",64.50764,2.8024666,12.496799,2.1640973,1,12,12.999647,0.09072633,3.1125,29,33,1.7761375,0.025344519,35.637394,59,30,30,1,"dicot","1","8"
"10","dicot-sim-1-9-20.rsml",39.21262,2.8024666,12.496799,2.2537966,1,12,12.999691,0.08441406,1.8665642,16,17,1.6383082,0.026130896,39.663914,33,17,17,1,"dicot","1","9"
"11","dicot-sim-10-1-20.rsml",285.32996,2.8448,22.995466,2.25164,1,23,23.499426,0.12416396,9.202252,193,150,1.3566349,0.015705297,31.613876,387,194,194,1,"dicot","10","1"
"12","dicot-sim-10-10-20.rsml",272.11328,2.7178,22.995466,2.2537844,1,23,23.499512,0.11588061,8.725415,183,137,1.3585451,0.015301027,30.486723,367,184,184,1,"dicot","10","10"
"13","dicot-sim-10-2-20.rsml",253.17735,2.7855332,22.995466,2.299948,1,23,23.499453,0.11552597,8.958034,176,123,1.3049884,0.015749551,32.59742,353,177,177,1,"dicot","10","2"
"14","dicot-sim-10-3-20.rsml",265.57156,3.1241999,22.995466,2.2908223,1,23,23.499996,0.11663111,8.629857,181,136,1.3374119,0.015616157,31.482265,363,182,182,1,"dicot","10","3"
"15","dicot-sim-10-4-20.rsml",274.19046,3.5644667,22.995466,2.2845042,1,23,23.499935,0.12461041,9.1086035,185,143,1.3550837,0.016009998,30.765469,371,186,186,1,"dicot","10","4"
"16","dicot-sim-10-5-20.rsml",260.19244,3.1241999,22.995466,2.274669,1,23,23.499784,0.11774303,8.7035055,171,136,1.3841677,0.01584872,30.892717,343,172,172,1,"dicot","10","5"
"17","dicot-sim-10-6-20.rsml",258.29202,3.1326666,22.995466,2.282408,1,23,23.499893,0.117985524,8.233331,172,127,1.3650706,0.015908558,30.931831,345,173,173,1,"dicot","10","6"
"18","dicot-sim-10-7-20.rsml",274.0302,3.2596667,22.995466,2.291974,1,23,23.499813,0.12199859,9.107657,188,138,1.3326086,0.015582633,30.110466,377,189,189,1,"dicot","10","7"
"19","dicot-sim-10-8-20.rsml",288.35645,2.9633334,22.995466,2.3047411,1,23,23.499754,0.120683976,9.650215,192,151,1.3794619,0.015600298,30.48937,385,193,193,1,"dicot","10","8"
"20","dicot-sim-10-9-20.rsml",252.91003,2.7516665,22.995466,2.3111663,1,23,23.49956,0.116518915,8.512119,175,125,1.3109173,0.01550699,28.904732,351,176,176,1,"dicot","10","9"
"21","dicot-sim-100-1-20.rsml",232.869,5.461,33.993668,2.319021,1,34,34.4991,0.06361256,3.462706,96,142,2.0663533,0.013690151,34.316998,193,97,97,1,"dicot","100","1"
"22","dicot-sim-100-10-20.rsml",199.03825,4.4026666,33.993668,2.3001933,1,34,34.499264,0.060847525,3.212802,90,117,1.8282113,0.013478697,34.104595,181,91,91,1,"dicot","100","10"
"23","dicot-sim-100-2-20.rsml",218.20723,4.5550666,33.993668,2.2957504,1,34,34.49997,0.059385918,3.3904698,94,127,1.9543326,0.013237846,33.828438,189,95,95,1,"dicot","100","2"
"24","dicot-sim-100-3-20.rsml",199.11282,4.961467,33.993668,2.3231924,1,34,34.49968,0.062198557,3.065876,85,119,1.9366255,0.013927106,34.429962,171,86,86,1,"dicot","100","3"
"25","dicot-sim-100-4-20.rsml",207.11836,5.0884666,33.993668,2.285357,1,34,34.49959,0.061594047,3.207508,88,122,1.9615769,0.013720953,34.860638,177,89,89,1,"dicot","100","4"
"26","dicot-sim-100-5-20.rsml",227.09369,6.2568665,33.993668,2.3143008,1,34,34.499313,0.06281561,3.4626818,96,140,2.0061913,0.013591147,32.36581,193,97,97,1,"dicot","100","5"
"27","dicot-sim-100-6-20.rsml",203.29416,5.5118,33.993668,2.2371528,1,34,34.499588,0.062067766,3.101958,86,118,1.9627275,0.0138460845,37.01825,173,87,87,1,"dicot","100","6"
"28","dicot-sim-100-7-20.rsml",217.78978,5.588,33.993668,2.2580822,1,34,34.499832,0.062110197,3.4626236,93,130,1.9708599,0.013641099,35.82723,187,94,94,1,"dicot","100","7"
"29","dicot-sim-100-8-20.rsml",203.55307,5.1054,33.993668,2.301816,1,34,34.49945,0.06169666,3.3533192,92,117,1.8375393,0.013659191,35.248215,185,93,93,1,"dicot","100","8"
"30","dicot-sim-100-9-20.rsml",186.33362,5.0207334,33.993668,2.2644043,1,34,34.49971,0.060689814,3.1380115,87,101,1.7452173,0.013712483,34.055107,175,88,88,1,"dicot","100","9"
"31","dicot-sim-101-1-20.rsml",90.57066,3.6067998,29.9974,2.2602868,1,30,30.49996,0.051750284,2.4795523,49,29,1.2259326,0.019869277,52.674805,99,50,50,1,"dicot","101","1"
"32","dicot-sim-101-10-20.rsml",105.2525,4.0555334,29.9974,2.2766616,1,30,30.499775,0.053480603,2.9354036,58,37,1.28884,0.018799376,57.35217,117,59,59,1,"dicot","101","10"
"33","dicot-sim-101-2-20.rsml",102.564224,4.309533,29.9974,2.290783,1,30,30.499763,0.052917432,2.7328963,54,37,1.334527,0.019215336,55.642845,109,55,55,1,"dicot","101","2"
"34","dicot-sim-101-3-20.rsml",93.06763,4.2248664,29.9974,2.31832,1,30,30.499554,0.05336805,2.450959,47,32,1.3312356,0.020397628,55.85159,95,48,48,1,"dicot","101","3"
"35","dicot-sim-101-4-20.rsml",89.733635,3.1411333,29.9974,2.2988393,1,30,30.499804,0.053660315,2.6327863,52,26,1.1391121,0.019433716,52.204975,105,53,53,1,"dicot","101","4"
"36","dicot-sim-101-5-20.rsml",100.63979,3.7168667,29.9974,2.3185527,1,30,30.499872,0.053842675,2.5814078,51,36,1.3752925,0.019924965,52.27395,103,52,52,1,"dicot","101","5"
"37","dicot-sim-101-6-20.rsml",81.94718,3.0564666,29.9974,2.3326507,1,30,30.5,0.05378032,2.428927,48,24,1.071816,0.020254798,49.197662,97,49,49,1,"dicot","101","6"
"38","dicot-sim-101-7-20.rsml",97.28976,4.2079334,29.9974,2.2543428,1,30,30.49982,0.053165384,2.7850082,55,32,1.2143619,0.019323861,54.009148,111,56,56,1,"dicot","101","7"
