"","image","specie","group","id","mean_prim_diameter","mean_lat_diameter"
"1","dicot-sim-1-1-20.rsml","dicot","1","1",0.09005735,0.025214517
"2","dicot-sim-1-10-20.rsml","dicot","1","10",0.08689725,0.024675509
"3","dicot-sim-1-2-20.rsml","dicot","1","2",0.08964329,0.025551258
"4","dicot-sim-1-3-20.rsml","dicot","1","3",0.08246763,0.025262944
"5","dicot-sim-1-4-20.rsml","dicot","1","4",0.08704382,0.025234997
"6","dicot-sim-1-5-20.rsml","dicot","1","5",0.08685177,0.025459869
"7","dicot-sim-1-6-20.rsml","dicot","1","6",0.08659631,0.024802541
"8","dicot-sim-1-7-20.rsml","dicot","1","7",0.088942185,0.02448227
"9","dicot-sim-1-8-20.rsml","dicot","1","8",0.09072633,0.025344519
"10","dicot-sim-1-9-20.rsml","dicot","1","9",0.08441406,0.026130896
"11","dicot-sim-10-1-20.rsml","dicot","10","1",0.12416396,0.015705297
"12","dicot-sim-10-10-20.rsml","dicot","10","10",0.11588061,0.015301027
"13","dicot-sim-10-2-20.rsml","dicot","10","2",0.11552597,0.015749551
"14","dicot-sim-10-3-20.rsml","dicot","10","3",0.11663111,0.015616157
"15","dicot-sim-10-4-20.rsml","dicot","10","4",0.12461041,0.016009998
"16","dicot-sim-10-5-20.rsml","dicot","10","5",0.11774303,0.01584872
"17","dicot-sim-10-6-20.rsml","dicot","10","6",0.117985524,0.015908558
"18","dicot-sim-10-7-20.rsml","dicot","10","7",0.12199859,0.015582633
"19","dicot-sim-10-8-20.rsml","dicot","10","8",0.120683976,0.015600298
"20","dicot-sim-10-9-20.rsml","dicot","10","9",0.116518915,0.01550699
"21","dicot-sim-100-1-20.rsml","dicot","100","1",0.06361256,0.013690151
"22","dicot-sim-100-10-20.rsml","dicot","100","10",0.060847525,0.013478697
"23","dicot-sim-100-2-20.rsml","dicot","100","2",0.059385918,0.013237846
"24","dicot-sim-100-3-20.rsml","dicot","100","3",0.062198557,0.013927106
"25","dicot-sim-100-4-20.rsml","dicot","100","4",0.061594047,0.013720953
"26","dicot-sim-100-5-20.rsml","dicot","100","5",0.06281561,0.013591147
"27","dicot-sim-100-6-20.rsml","dicot","100","6",0.062067766,0.0138460845
"28","dicot-sim-100-7-20.rsml","dicot","100","7",0.062110197,0.013641099
"29","dicot-sim-100-8-20.rsml","dicot","100","8",0.06169666,0.013659191
"30","dicot-sim-100-9-20.rsml","dicot","100","9",0.060689814,0.013712483
"31","dicot-sim-101-1-20.rsml","dicot","101","1",0.051750284,0.019869277
"32","dicot-sim-101-10-20.rsml","dicot","101","10",0.053480603,0.018799376
"33","dicot-sim-101-2-20.rsml","dicot","101","2",0.052917432,0.019215336
"34","dicot-sim-101-3-20.rsml","dicot","101","3",0.05336805,0.020397628
"35","dicot-sim-101-4-20.rsml","dicot","101","4",0.053660315,0.019433716
"36","dicot-sim-101-5-20.rsml","dicot","101","5",0.053842675,0.019924965
"37","dicot-sim-101-6-20.rsml","dicot","101","6",0.05378032,0.020254798
"38","dicot-sim-101-7-20.rsml","dicot","101","7",0.053165384,0.019323861
"39","dicot-sim-101-8-20.rsml","dicot","101","8",0.05320643,0.01989819
"40","dicot-sim-101-9-20.rsml","dicot","101","9",0.052639827,0.019497236
"41","dicot-sim-102-1-20.rsml","dicot","102","1",0.04448858,0.014771709
"42","dicot-sim-102-10-20.rsml","dicot","102","10",0.043287076,0.014150336
"43","dicot-sim-102-2-20.rsml","dicot","102","2",0.043219797,0.013789782
"44","dicot-sim-102-3-20.rsml","dicot","102","3",0.04249077,0.0141215995
"45","dicot-sim-102-4-20.rsml","dicot","102","4",0.04403815,0.013776176
"46","dicot-sim-102-5-20.rsml","dicot","102","5",0.04316623,0.014484415
"47","dicot-sim-102-6-20.rsml","dicot","102","6",0.044561386,0.014109996
"48","dicot-sim-102-7-20.rsml","dicot","102","7",0.0410058,0.013634944
"49","dicot-sim-102-8-20.rsml","dicot","102","8",0.043825395,0.014583455
"50","dicot-sim-102-9-20.rsml","dicot","102","9",0.042891238,0.0143292025
"51","dicot-sim-103-1-20.rsml","dicot","103","1",0.09703328,0.016115358
"52","dicot-sim-103-10-20.rsml","dicot","103","10",0.0989466,0.016212024
"53","dicot-sim-103-2-20.rsml","dicot","103","2",0.10142199,0.016417567
"54","dicot-sim-103-3-20.rsml","dicot","103","3",0.09685055,0.015935617
"55","dicot-sim-103-4-20.rsml","dicot","103","4",0.098232955,0.01640115
"56","dicot-sim-103-5-20.rsml","dicot","103","5",0.09691814,0.015903652
"57","dicot-sim-103-6-20.rsml","dicot","103","6",0.1027044,0.01630464
"58","dicot-sim-103-7-20.rsml","dicot","103","7",0.09945331,0.016099881
"59","dicot-sim-103-8-20.rsml","dicot","103","8",0.099423125,0.016026704
"60","dicot-sim-103-9-20.rsml","dicot","103","9",0.10113206,0.01617315
"61","dicot-sim-104-1-20.rsml","dicot","104","1",0.09202506,0.03135902
"62","dicot-sim-104-10-20.rsml","dicot","104","10",0.096113026,0.031916935
"63","dicot-sim-104-2-20.rsml","dicot","104","2",0.09459966,0.03125437
"64","dicot-sim-104-3-20.rsml","dicot","104","3",0.09259601,0.031650618
"65","dicot-sim-104-4-20.rsml","dicot","104","4",0.097258784,0.030983923
"66","dicot-sim-104-5-20.rsml","dicot","104","5",0.096484356,0.03247779
"67","dicot-sim-104-6-20.rsml","dicot","104","6",0.09862547,0.03191765
"68","dicot-sim-104-7-20.rsml","dicot","104","7",0.094744675,0.031235633
"69","dicot-sim-104-8-20.rsml","dicot","104","8",0.09666277,0.032301523
"70","dicot-sim-104-9-20.rsml","dicot","104","9",0.09426346,0.03179945
"71","dicot-sim-105-1-20.rsml","dicot","105","1",0.066050045,0.015135792
"72","dicot-sim-105-10-20.rsml","dicot","105","10",0.06519371,0.015364858
"73","dicot-sim-105-2-20.rsml","dicot","105","2",0.06257846,0.014728265
"74","dicot-sim-105-3-20.rsml","dicot","105","3",0.06536322,0.015552733
"75","dicot-sim-105-4-20.rsml","dicot","105","4",0.06336705,0.015190915
"76","dicot-sim-105-5-20.rsml","dicot","105","5",0.06457445,0.015296269
"77","dicot-sim-105-6-20.rsml","dicot","105","6",0.0674243,0.015522062
"78","dicot-sim-105-7-20.rsml","dicot","105","7",0.06557947,0.015306637
"79","dicot-sim-105-8-20.rsml","dicot","105","8",0.06598157,0.015035342
"80","dicot-sim-105-9-20.rsml","dicot","105","9",0.06383374,0.015102314
"81","dicot-sim-106-1-8.rsml","dicot","106","1",0.4378709,0.09648783
"82","dicot-sim-106-10-8.rsml","dicot","106","10",0.45943794,0.09273752
"83","dicot-sim-106-2-8.rsml","dicot","106","2",0.42356008,0.09175109
"84","dicot-sim-106-3-8.rsml","dicot","106","3",0.44620863,0.10175294
"85","dicot-sim-106-4-8.rsml","dicot","106","4",0.46155643,0.0922278
"86","dicot-sim-106-5-8.rsml","dicot","106","5",0.46634588,0.09739733
"87","dicot-sim-106-6-8.rsml","dicot","106","6",0.4306116,0.0910643
"88","dicot-sim-106-7-8.rsml","dicot","106","7",0.4458651,0.09413143
"89","dicot-sim-106-8-8.rsml","dicot","106","8",0.45331144,0.0949408
"90","dicot-sim-106-9-8.rsml","dicot","106","9",0.44348705,0.09534418
"91","dicot-sim-107-1-20.rsml","dicot","107","1",0.037896395,0.008938926
"92","dicot-sim-107-10-20.rsml","dicot","107","10",0.03688366,0.009717597
"93","dicot-sim-107-2-20.rsml","dicot","107","2",0.039940827,0.009469054
"94","dicot-sim-107-3-20.rsml","dicot","107","3",0.038884144,0.008561577
"95","dicot-sim-107-4-20.rsml","dicot","107","4",0.039588213,0.009630896
"96","dicot-sim-107-5-20.rsml","dicot","107","5",0.03925253,0.009262655
"97","dicot-sim-107-6-20.rsml","dicot","107","6",0.038210437,0.009136007
"98","dicot-sim-107-7-20.rsml","dicot","107","7",0.038394682,0.0096183885
"99","dicot-sim-107-8-20.rsml","dicot","107","8",0.038761925,0.009561666
"100","dicot-sim-107-9-20.rsml","dicot","107","9",0.039049838,0.009112431
"101","dicot-sim-108-1-20.rsml","dicot","108","1",0.04800054,0.013342766
"102","dicot-sim-108-10-20.rsml","dicot","108","10",0.048078116,0.012651117
"103","dicot-sim-108-2-20.rsml","dicot","108","2",0.04842665,0.014049909
"104","dicot-sim-108-3-20.rsml","dicot","108","3",0.048776217,0.013059261
