"","image","specie","group","id","tot_root_length","tot_prim_length","mean_prim_length","tot_lat_length","mean_lat_length","width","depth","n_laterals","n_primary","mean_lat_density"
"1","dicot-sim-1-1-20.rsml","dicot","1","1",51.927048,12,12.999994,24,1.4417427,2.1759334,12.496799,27,1,3.0185144
"2","dicot-sim-1-10-20.rsml","dicot","1","10",43.12616,12,12.999526,20,1.5063316,2.159,12.496799,20,1,2.2360134
"3","dicot-sim-1-2-20.rsml","dicot","1","2",50.534565,12,12.999537,24,1.6319573,2.2521334,12.496799,23,1,2.468553
"4","dicot-sim-1-3-20.rsml","dicot","1","3",43.342926,12,12.999834,18,1.6857265,2.4384,12.496799,18,1,2.4148457
"5","dicot-sim-1-4-20.rsml","dicot","1","4",46.67916,12,12.999963,21,1.4643131,2.5484667,12.496799,23,1,3.0855937
"6","dicot-sim-1-5-20.rsml","dicot","1","5",43.558487,12,12.999994,16,1.3890225,2.3791332,12.496799,22,1,2.4595306
"7","dicot-sim-1-6-20.rsml","dicot","1","6",50.220287,12,12.999987,23,1.550846,2.3452666,12.496799,24,1,2.7997832
"8","dicot-sim-1-7-20.rsml","dicot","1","7",44.124157,12,12.999999,19,1.4821025,2.3367999,12.496799,21,1,2.5611627
"9","dicot-sim-1-8-20.rsml","dicot","1","8",64.50764,12,12.999647,33,1.7761375,2.8024666,12.496799,29,1,3.1125
"10","dicot-sim-1-9-20.rsml","dicot","1","9",39.21262,12,12.999691,17,1.6383082,2.8024666,12.496799,16,1,1.8665642
"11","dicot-sim-10-1-20.rsml","dicot","10","1",285.32996,23,23.499426,150,1.3566349,2.8448,22.995466,193,1,9.202252
"12","dicot-sim-10-10-20.rsml","dicot","10","10",272.11328,23,23.499512,137,1.3585451,2.7178,22.995466,183,1,8.725415
"13","dicot-sim-10-2-20.rsml","dicot","10","2",253.17735,23,23.499453,123,1.3049884,2.7855332,22.995466,176,1,8.958034
"14","dicot-sim-10-3-20.rsml","dicot","10","3",265.57156,23,23.499996,136,1.3374119,3.1241999,22.995466,181,1,8.629857
"15","dicot-sim-10-4-20.rsml","dicot","10","4",274.19046,23,23.499935,143,1.3550837,3.5644667,22.995466,185,1,9.1086035
"16","dicot-sim-10-5-20.rsml","dicot","10","5",260.19244,23,23.499784,136,1.3841677,3.1241999,22.995466,171,1,8.7035055
"17","dicot-sim-10-6-20.rsml","dicot","10","6",258.29202,23,23.499893,127,1.3650706,3.1326666,22.995466,172,1,8.233331
"18","dicot-sim-10-7-20.rsml","dicot","10","7",274.0302,23,23.499813,138,1.3326086,3.2596667,22.995466,188,1,9.107657
"19","dicot-sim-10-8-20.rsml","dicot","10","8",288.35645,23,23.499754,151,1.3794619,2.9633334,22.995466,192,1,9.650215
"20","dicot-sim-10-9-20.rsml","dicot","10","9",252.91003,23,23.49956,125,1.3109173,2.7516665,22.995466,175,1,8.512119
"21","dicot-sim-100-1-20.rsml","dicot","100","1",232.869,34,34.4991,142,2.0663533,5.461,33.993668,96,1,3.462706
"22","dicot-sim-100-10-20.rsml","dicot","100","10",199.03825,34,34.499264,117,1.8282113,4.4026666,33.993668,90,1,3.212802
"23","dicot-sim-100-2-20.rsml","dicot","100","2",218.20723,34,34.49997,127,1.9543326,4.5550666,33.993668,94,1,3.3904698
"24","dicot-sim-100-3-20.rsml","dicot","100","3",199.11282,34,34.49968,119,1.9366255,4.961467,33.993668,85,1,3.065876
"25","dicot-sim-100-4-20.rsml","dicot","100","4",207.11836,34,34.49959,122,1.9615769,5.0884666,33.993668,88,1,3.207508
"26","dicot-sim-100-5-20.rsml","dicot","100","5",227.09369,34,34.499313,140,2.0061913,6.2568665,33.993668,96,1,3.4626818
"27","dicot-sim-100-6-20.rsml","dicot","100","6",203.29416,34,34.499588,118,1.9627275,5.5118,33.993668,86,1,3.101958
"28","dicot-sim-100-7-20.rsml","dicot","100","7",217.78978,34,34.499832,130,1.9708599,5.588,33.993668,93,1,3.4626236
"29","dicot-sim-100-8-20.rsml","dicot","100","8",203.55307,34,34.49945,117,1.8375393,5.1054,33.993668,92,1,3.3533192
"30","dicot-sim-100-9-20.rsml","dicot","100","9",186.33362,34,34.49971,101,1.7452173,5.0207334,33.993668,87,1,3.1380115
"31","dicot-sim-101-1-20.rsml","dicot","101","1",90.57066,30,30.49996,29,1.2259326,3.6067998,29.9974,49,1,2.4795523
"32","dicot-sim-101-10-20.rsml","dicot","101","10",105.2525,30,30.499775,37,1.28884,4.0555334,29.9974,58,1,2.9354036
"33","dicot-sim-101-2-20.rsml","dicot","101","2",102.564224,30,30.499763,37,1.334527,4.309533,29.9974,54,1,2.7328963
"34","dicot-sim-101-3-20.rsml","dicot","101","3",93.06763,30,30.499554,32,1.3312356,4.2248664,29.9974,47,1,2.450959
"35","dicot-sim-101-4-20.rsml","dicot","101","4",89.733635,30,30.499804,26,1.1391121,3.1411333,29.9974,52,1,2.6327863
"36","dicot-sim-101-5-20.rsml","dicot","101","5",100.63979,30,30.499872,36,1.3752925,3.7168667,29.9974,51,1,2.5814078
"37","dicot-sim-101-6-20.rsml","dicot","101","6",81.94718,30,30.5,24,1.071816,3.0564666,29.9974,48,1,2.428927
"38","dicot-sim-101-7-20.rsml","dicot","101","7",97.28976,30,30.49982,32,1.2143619,4.2079334,29.9974,55,1,2.7850082
"39","dicot-sim-101-8-20.rsml","dicot","101","8",97.78104,30,30.499674,37,1.3456271,4.1656,29.9974,50,1,2.530252
"40","dicot-sim-101-9-20.rsml","dicot","101","9",90.806114,30,30.49988,30,1.1378535,3.4713333,29.9974,53,1,2.7228153
"41","dicot-sim-102-1-20.rsml","dicot","102","1",15.202653,8,8.499918,4,1.1171227,0.5588,7.992533,6,1,1.9231545
"42","dicot-sim-102-10-20.rsml","dicot","102","10",19.425045,8,8.499638,7,1.2139344,1.1260667,7.992533,9,1,2.6566043
"43","dicot-sim-102-2-20.rsml","dicot","102","2",20.053806,8,8.499998,6,1.2837566,1.6340667,7.992533,9,1,2.6564355
"44","dicot-sim-102-3-20.rsml","dicot","102","3",20.734451,8,8.499705,8,1.2234745,1.0668,7.992533,10,1,3.217209
"45","dicot-sim-102-4-20.rsml","dicot","102","4",19.151604,8,8.499981,5,1.0651624,1.2276666,7.992533,10,1,2.951604
"46","dicot-sim-102-5-20.rsml","dicot","102","5",19.110424,8,8.499972,5,1.1789387,1.1938,7.992533,9,1,2.9090183
"47","dicot-sim-102-6-20.rsml","dicot","102","6",18.96918,8,8.499948,5,1.1632484,1.1514666,7.992533,9,1,2.6564584
"48","dicot-sim-102-7-20.rsml","dicot","102","7",19.560347,8,8.499997,6,1.1060351,1.3546667,7.992533,10,1,2.9515953
"49","dicot-sim-102-8-20.rsml","dicot","102","8",16.08619,8,8.499949,3,1.0837486,1.1938,7.992533,7,1,2.0661342
"50","dicot-sim-102-9-20.rsml","dicot","102","9",14.124433,8,8.499725,3,1.4061768,1.4308666,7.992533,4,1,1.1806947
"51","dicot-sim-103-1-20.rsml","dicot","103","1",121.73823,16,16.499496,48,1.0022734,2.4891999,15.993533,105,1,8.511399
"52","dicot-sim-103-10-20.rsml","dicot","103","10",135.67393,16,16.49994,48,1.045386,2.794,15.993533,114,1,9.188701
"53","dicot-sim-103-2-20.rsml","dicot","103","2",145.58037,16,16.499905,60,1.0006238,2.7008667,15.993533,129,1,10.39777
"54","dicot-sim-103-3-20.rsml","dicot","103","3",130.00209,16,16.499994,37,0.9080167,2.8448,15.993533,125,1,10.075287
"55","dicot-sim-103-4-20.rsml","dicot","103","4",123.53473,16,16.499943,42,0.9556677,2.7855332,15.993533,112,1,9.027494
"56","dicot-sim-103-5-20.rsml","dicot","103","5",118.85748,16,16.499569,34,0.8900689,2.4214666,15.993533,115,1,9.217795
"57","dicot-sim-103-6-20.rsml","dicot","103","6",142.82692,16,16.499746,56,1.002597,2.667,15.993533,126,1,10.330199
"58","dicot-sim-103-7-20.rsml","dicot","103","7",139.8379,16,16.499826,56,0.9788735,2.7601333,15.993533,126,1,10.271438
"59","dicot-sim-103-8-20.rsml","dicot","103","8",141.34131,16,16.499779,49,0.9830042,2.3283334,15.993533,127,1,10.23667
"60","dicot-sim-103-9-20.rsml","dicot","103","9",148.70596,16,16.499687,56,0.9866142,2.2521334,15.993533,134,1,10.740633
"61","dicot-sim-104-1-20.rsml","dicot","104","1",237.65602,29,29.999329,180,3.7081556,9.762067,29.497866,56,1,2.3889337
"62","dicot-sim-104-10-20.rsml","dicot","104","10",278.87857,29,29.99982,216,4.1479793,11.751733,29.497866,60,1,2.5595255
"63","dicot-sim-104-2-20.rsml","dicot","104","2",268.75305,30,30,208,4.18865,11.176,29.497866,57,1,2.4727457
"64","dicot-sim-104-3-20.rsml","dicot","104","3",233.9099,29,29.999933,176,3.9213452,10.651067,29.497866,52,1,2.2182462
"65","dicot-sim-104-4-20.rsml","dicot","104","4",275.1316,29,29.999905,215,4.300556,10.2108,29.497866,57,1,2.5153859
"66","dicot-sim-104-5-20.rsml","dicot","104","5",257.58148,29,29.9999,196,4.0639567,9.872133,29.497866,56,1,2.3888836
"67","dicot-sim-104-6-20.rsml","dicot","104","6",239.20126,29,29.999973,178,3.486688,9.795933,29.497866,60,1,2.5595114
"68","dicot-sim-104-7-20.rsml","dicot","104","7",241.07144,29,29.999718,180,3.908736,11.192933,29.497866,54,1,2.4248142
"69","dicot-sim-104-8-20.rsml","dicot","104","8",261.36612,29,29.999628,196,3.989077,12.4036665,29.497866,58,1,2.4742253
"70","dicot-sim-104-9-20.rsml","dicot","104","9",257.4639,29,29.99879,197,3.8553405,10.752666,29.497866,59,1,2.559624
"71","dicot-sim-105-1-20.rsml","dicot","105","1",126.740555,20,20.999369,68,1.7334623,6.5532,20.497799,61,1,3.3812006
