"","image","specie","group","id","tree_size","tree_magnitude","tree_altitude","tree_index"
"1","dicot-sim-1-1-20.rsml","dicot","1","1",55,28,28,1
"2","dicot-sim-1-10-20.rsml","dicot","1","10",41,21,21,1
"3","dicot-sim-1-2-20.rsml","dicot","1","2",47,24,24,1
"4","dicot-sim-1-3-20.rsml","dicot","1","3",37,19,19,1
"5","dicot-sim-1-4-20.rsml","dicot","1","4",47,24,24,1
"6","dicot-sim-1-5-20.rsml","dicot","1","5",45,23,23,1
"7","dicot-sim-1-6-20.rsml","dicot","1","6",49,25,25,1
"8","dicot-sim-1-7-20.rsml","dicot","1","7",43,22,22,1
"9","dicot-sim-1-8-20.rsml","dicot","1","8",59,30,30,1
"10","dicot-sim-1-9-20.rsml","dicot","1","9",33,17,17,1
"11","dicot-sim-10-1-20.rsml","dicot","10","1",387,194,194,1
"12","dicot-sim-10-10-20.rsml","dicot","10","10",367,184,184,1
"13","dicot-sim-10-2-20.rsml","dicot","10","2",353,177,177,1
"14","dicot-sim-10-3-20.rsml","dicot","10","3",363,182,182,1
"15","dicot-sim-10-4-20.rsml","dicot","10","4",371,186,186,1
"16","dicot-sim-10-5-20.rsml","dicot","10","5",343,172,172,1
"17","dicot-sim-10-6-20.rsml","dicot","10","6",345,173,173,1
"18","dicot-sim-10-7-20.rsml","dicot","10","7",377,189,189,1
"19","dicot-sim-10-8-20.rsml","dicot","10","8",385,193,193,1
"20","dicot-sim-10-9-20.rsml","dicot","10","9",351,176,176,1
"21","dicot-sim-100-1-20.rsml","dicot","100","1",193,97,97,1
"22","dicot-sim-100-10-20.rsml","dicot","100","10",181,91,91,1
"23","dicot-sim-100-2-20.rsml","dicot","100","2",189,95,95,1
"24","dicot-sim-100-3-20.rsml","dicot","100","3",171,86,86,1
"25","dicot-sim-100-4-20.rsml","dicot","100","4",177,89,89,1
"26","dicot-sim-100-5-20.rsml","dicot","100","5",193,97,97,1
"27","dicot-sim-100-6-20.rsml","dicot","100","6",173,87,87,1
"28","dicot-sim-100-7-20.rsml","dicot","100","7",187,94,94,1
"29","dicot-sim-100-8-20.rsml","dicot","100","8",185,93,93,1
"30","dicot-sim-100-9-20.rsml","dicot","100","9",175,88,88,1
"31","dicot-sim-101-1-20.rsml","dicot","101","1",99,50,50,1
"32","dicot-sim-101-10-20.rsml","dicot","101","10",117,59,59,1
"33","dicot-sim-101-2-20.rsml","dicot","101","2",109,55,55,1
"34","dicot-sim-101-3-20.rsml","dicot","101","3",95,48,48,1
"35","dicot-sim-101-4-20.rsml","dicot","101","4",105,53,53,1
"36","dicot-sim-101-5-20.rsml","dicot","101","5",103,52,52,1
"37","dicot-sim-101-6-20.rsml","dicot","101","6",97,49,49,1
"38","dicot-sim-101-7-20.rsml","dicot","101","7",111,56,56,1
"39","dicot-sim-101-8-20.rsml","dicot","101","8",101,51,51,1
"40","dicot-sim-101-9-20.rsml","dicot","101","9",107,54,54,1
"41","dicot-sim-102-1-20.rsml","dicot","102","1",13,7,7,1
"42","dicot-sim-102-10-20.rsml","dicot","102","10",19,10,10,1
"43","dicot-sim-102-2-20.rsml","dicot","102","2",19,10,10,1
"44","dicot-sim-102-3-20.rsml","dicot","102","3",21,11,11,1
"45","dicot-sim-102-4-20.rsml","dicot","102","4",21,11,11,1
"46","dicot-sim-102-5-20.rsml","dicot","102","5",19,10,10,1
"47","dicot-sim-102-6-20.rsml","dicot","102","6",19,10,10,1
"48","dicot-sim-102-7-20.rsml","dicot","102","7",21,11,11,1
"49","dicot-sim-102-8-20.rsml","dicot","102","8",15,8,8,1
"50","dicot-sim-102-9-20.rsml","dicot","102","9",9,5,5,1
"51","dicot-sim-103-1-20.rsml","dicot","103","1",211,106,106,1
"52","dicot-sim-103-10-20.rsml","dicot","103","10",229,115,115,1
"53","dicot-sim-103-2-20.rsml","dicot","103","2",259,130,130,1
"54","dicot-sim-103-3-20.rsml","dicot","103","3",251,126,126,1
"55","dicot-sim-103-4-20.rsml","dicot","103","4",225,113,113,1
"56","dicot-sim-103-5-20.rsml","dicot","103","5",231,116,116,1
"57","dicot-sim-103-6-20.rsml","dicot","103","6",253,127,127,1
"58","dicot-sim-103-7-20.rsml","dicot","103","7",253,127,127,1
"59","dicot-sim-103-8-20.rsml","dicot","103","8",255,128,128,1
"60","dicot-sim-103-9-20.rsml","dicot","103","9",269,135,135,1
"61","dicot-sim-104-1-20.rsml","dicot","104","1",113,57,57,1
"62","dicot-sim-104-10-20.rsml","dicot","104","10",121,61,61,1
"63","dicot-sim-104-2-20.rsml","dicot","104","2",115,58,58,1
"64","dicot-sim-104-3-20.rsml","dicot","104","3",105,53,53,1
"65","dicot-sim-104-4-20.rsml","dicot","104","4",115,58,58,1
"66","dicot-sim-104-5-20.rsml","dicot","104","5",113,57,57,1
"67","dicot-sim-104-6-20.rsml","dicot","104","6",121,61,61,1
"68","dicot-sim-104-7-20.rsml","dicot","104","7",109,55,55,1
