image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
dicot-sim-1-1-25.rsml,117.14516,2.3706667,99.99133,23.621733,1,104.0,104.999,0.26349956,0.406834,2,11.0,6.0730777,0.1624011,29.00407,5,3.0,3.0,1.0,0.0
dicot-sim-1-10-25.rsml,129.81331,8.043334,99.99133,22.89042,1,104.0,104.99618,0.25861618,0.15256304,3,23.0,8.272379,0.1514814,33.889095,7,4.0,4.0,1.0,0.2
dicot-sim-1-2-25.rsml,138.43242,8.89,99.99133,23.301596,1,104.0,104.99988,0.26165742,0.15256296,3,32.0,11.144179,0.16076817,37.69949,7,4.0,4.0,1.0,0.0
dicot-sim-1-3-25.rsml,146.04002,11.43,99.99133,22.153551,1,104.0,104.99492,0.26320863,0.11300971,5,40.0,8.209025,0.15659696,27.976337,11,6.0,6.0,1.0,0.23529412
dicot-sim-1-4-25.rsml,134.77342,2.7093334,99.99133,25.10907,1,104.0,104.99865,0.26838532,0.08136698,4,28.0,7.443695,0.15767492,33.29376,9,5.0,5.0,1.0,0.0
dicot-sim-1-5-25.rsml,104.99601,0.33866668,99.99133,22.879152,1,104.0,104.99601,0.24400727,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0
dicot-sim-1-6-25.rsml,128.88489,6.3500004,99.99133,22.841526,1,104.0,104.99576,0.25792062,0.30512616,3,22.0,7.963046,0.15621118,34.755047,7,4.0,4.0,1.0,0.2
dicot-sim-1-7-25.rsml,126.34441,4.402667,99.99133,23.871525,1,104.0,104.9995,0.27209827,0.305126,3,20.0,7.114974,0.15023099,47.13715,7,4.0,4.0,1.0,0.22222222
dicot-sim-1-8-25.rsml,129.34052,9.906,99.99133,23.23287,1,104.0,104.99411,0.25264055,0.40683487,2,23.0,12.173205,0.16561934,46.311874,5,3.0,3.0,1.0,0.125
dicot-sim-1-9-25.rsml,150.95111,6.688667,99.99133,24.217358,1,104.0,104.99812,0.2742296,0.10170873,5,43.0,9.1905985,0.15947364,24.089672,11,6.0,6.0,1.0,0.05263158
dicot-sim-10-1-25.rsml,2455.7515,53.763336,194.98734,18.481466,1,199.0,199.99956,0.62259847,0.5848476,234,2135.0,9.639967,0.11335313,65.72228,469,235.0,235.0,1.0,0.5950783
dicot-sim-10-10-25.rsml,2746.4229,57.573334,194.98734,18.945116,1,199.0,199.99547,0.6213654,0.5467233,247,2423.0,10.309421,0.114080146,68.14155,495,248.0,248.0,1.0,0.6145308
dicot-sim-10-2-25.rsml,2843.5552,57.23467,194.98734,17.954618,1,199.0,199.99956,0.603748,0.5424991,265,2517.0,9.975681,0.11133253,68.64296,531,266.0,266.0,1.0,0.617561
dicot-sim-10-3-25.rsml,2523.487,50.546,194.98734,18.97482,1,199.0,199.99994,0.6280111,0.5939147,225,2208.0,10.326611,0.11454974,68.927536,451,226.0,226.0,1.0,0.60045147
dicot-sim-10-4-25.rsml,2094.3782,59.01267,194.98734,18.413168,1,199.0,199.99757,0.6288048,0.5530797,179,1809.0,10.58313,0.11580016,67.44391,359,180.0,180.0,1.0,0.54761904
dicot-sim-10-5-25.rsml,2153.8044,55.541336,194.98734,18.851902,1,199.0,199.99721,0.55611694,0.5926274,189,1860.0,10.3376045,0.11213437,67.78788,379,190.0,190.0,1.0,0.551265
dicot-sim-10-6-25.rsml,2288.0564,57.573334,194.98734,19.136202,1,199.0,199.99689,0.5956263,0.6697332,214,1987.0,9.757291,0.11333787,66.11171,429,215.0,215.0,1.0,0.56574184
dicot-sim-10-7-25.rsml,2076.037,48.090668,194.98734,18.984598,1,199.0,199.9953,0.5911306,0.65280074,198,1772.0,9.4749565,0.11520575,63.491615,397,199.0,199.0,1.0,0.5725699
dicot-sim-10-8-25.rsml,2659.7854,57.573334,194.98734,18.066938,1,199.0,199.99855,0.6335484,0.5580647,238,2332.0,10.335239,0.11332112,67.75585,477,239.0,239.0,1.0,0.61182797
dicot-sim-10-9-25.rsml,2417.1814,57.74267,194.98734,18.883425,1,199.0,199.99559,0.6042793,0.5652501,220,2102.0,10.078114,0.114329964,66.02073,441,221.0,221.0,1.0,0.6028538
