image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index,overlap
monocot-sim-1-1-11.rsml,918.6359,37.253334,50.292,22.05436,3,95.0,32.423786,0.20600002,1.4262848,77,783.0,10.667072,0.1609818,42.464996,157,80.0,51.0,0.6375,0.4397394
monocot-sim-1-10-11.rsml,1030.275,37.253334,49.953335,21.230566,3,83.0,28.4178,0.20600002,1.8685852,79,898.0,11.962297,0.16029012,47.734123,161,82.0,51.0,0.6219512,0.46604937
monocot-sim-1-2-11.rsml,1040.1897,41.317333,49.953335,21.787058,3,84.0,28.496298,0.20600002,2.1601903,78,911.0,12.239755,0.15971455,47.14956,159,81.0,52.0,0.6419753,0.47368422
monocot-sim-1-3-11.rsml,949.0732,36.999336,50.12267,22.049099,3,90.0,30.911161,0.20600002,1.7698892,71,818.0,12.061121,0.16016418,52.91279,145,74.0,48.0,0.6486486,0.41095892
monocot-sim-1-4-11.rsml,1009.5934,37.592003,49.953335,21.257853,3,92.0,31.438248,0.20600002,1.5212303,71,875.0,12.891249,0.1613507,50.445515,145,74.0,49.0,0.6621622,0.5131579
monocot-sim-1-5-11.rsml,1017.0649,37.930668,49.953335,20.844719,3,79.0,27.272484,0.20600002,1.8334564,81,891.0,11.546264,0.16089827,51.449272,165,84.0,54.0,0.64285713,0.44164038
monocot-sim-1-6-11.rsml,1061.9691,40.555336,49.953335,22.374865,3,100.0,34.0572,0.20600002,1.1692067,75,920.0,12.7973,0.1613136,45.143288,153,78.0,53.0,0.67948717,0.496875
monocot-sim-1-7-11.rsml,1085.185,48.85267,50.038002,21.531857,3,101.0,34.572197,0.20600002,1.3389049,79,938.0,12.423652,0.16222209,47.54402,161,82.0,53.0,0.64634144,0.44753087
monocot-sim-1-8-11.rsml,1113.935,41.23267,49.953335,21.783138,3,87.0,29.575953,0.20600002,1.6453285,81,979.0,12.65688,0.16225928,48.46561,165,84.0,55.0,0.6547619,0.48802397
monocot-sim-1-9-11.rsml,981.99207,29.125334,50.038002,21.23534,3,89.0,30.18433,0.20600002,1.6848403,79,844.0,11.284039,0.16310547,50.386734,161,82.0,51.0,0.6219512,0.44155845
monocot-sim-10-1-25.rsml,2477.8293,60.875336,219.964,22.34469,11,1287.0,117.552376,0.24499954,0.2602709,108,1124.0,10.96994,0.116381586,46.28531,227,119.0,24.0,0.20168068,0.4710145
monocot-sim-10-10-25.rsml,2483.2515,61.806667,219.964,22.118237,11,1287.0,117.70572,0.24499954,0.26684445,104,1131.0,11.427777,0.11690881,46.803696,219,115.0,25.0,0.2173913,0.4408867
monocot-sim-10-2-25.rsml,2498.1865,50.546,219.964,21.928526,11,1295.0,118.37843,0.24499954,0.18253186,95,1142.0,12.589728,0.119747624,52.19578,201,106.0,32.0,0.3018868,0.4515306
